ParaBond Portfolio Analysis
Alex Shah
5/1/18
Cores: 8
Number of workers: 2
Hosts : localhost 192.168.1.120 192.168.1.127
Memory Bound Node Report:

n        Missed   T1       TN       R     e     
1000      0       83.95   7.37    11.3901 1.4238 
2000      0       154.45  11.89   12.9944 1.6243 
4000      0       307.57  22.20   13.8539 1.7317 
8000      0       615.60  44.25   13.9118 1.7390 
16000     0       1256.94 89.59   14.0299 1.7537 
32000     0       2482.82 178.39  13.9176 1.7397 
64000     0       4794.64 377.27  12.7086 1.5886 
100000    0       7796.16 587.06  13.2799 1.6600
