ParaBond Portfolio Analysis
Alex Shah
5/1/18
Cores: 8
Number of workers: 2

Memory Bound Node Report:

n        Missed   T1       TN       R     e     

1000      0       66.62   8.26    8.0664 1.0083 
2000      0       123.05  15.13   8.1314 1.0164 
4000      0       231.81  28.33   8.1814 1.0227 
8000      0       460.27  55.95   8.2273 1.0284 
16000     0       942.49  112.59  8.3707 1.0463 
32000     0       1854.04 220.59  8.4049 1.0506 
64000     0       3616.92 434.28  8.3285 1.0411 
100000    0       5727.91 683.30  8.3827 1.0478
