ParaBond Portfolio Analysis
Alex Shah
5/1/18
Cores: 8
Number of workers: 2
Hosts : localhost 192.168.1.120 192.168.1.127
Basic Node Report:

n        Missed   T1       TN       R     e     

1000      0       81.22   7.42    10.9482 1.3685 
2000      0       157.09  13.22   11.8809 1.4851 
4000      0       316.83  26.14   12.1209 1.5151 
8000      0       646.65  48.33   13.3808 1.6726 
16000     0       1257.20 103.28  12.1724 1.5215 
32000     0       2569.84 190.62  13.4818 1.6852 
64000     0       4998.36 370.88  13.4771 1.6846 
100000    0       7783.72 686.98  11.3303 1.4163
